Soil Volumes Jerimalai Sq B,,,,,Soil Volumes Jerimalai Sq B,,,,Soil Volumes Jerimalai Sq A,,,,Soil Volumes Jerimalai Sq A,
,Soil,Artefacts,Rocks,,Spit,density,,,Soil,Artefacts,Rocks,,,
1,49,90,0,,1,1.8,,1,34.3,59,2,,1,1.7
2,28,29,1,,2,1.0,,2,36.4,66,3.2,,2,1.8
3,34.5,103,5,,3,3.0,,3,33.1,29,5,,3,0.9
4,37.25,75,8,,4,2.0,,4,32.7,47,7,,4,1.4
5,38.5,104,5,,5,2.7,,5,34.3,55,8.9,,5,1.6
6,32.5,64,6.5,,6,2.0,,6,38.4,25,9.5,,6,0.7
7,40.5,105,9,,7,2.6,,7,38.5,70,10.5,,7,1.8
8,31,76,7,,8,2.5,,8,37.5,34,8.5,,8,0.9
9,39,86,9,,9,2.2,,9,34.25,70,8.1,,9,2.0
10,43,94,8,,10,2.2,,10,45.25,50,18,,10,1.1
11,37.25,87,8,,11,2.3,,11,41,23,9,,11,0.6
12,38,61,9,,12,1.6,,12,41.5,68,5.5,,12,1.6
13,37.5,78,7,,13,2.1,,13,41,52,5.5,,13,1.3
14,40,72,9,,14,1.8,,14,34.25,82,5,,14,2.4
15,42,86,8,,15,2.0,,15,31,54,4.8,,15,1.7
16,33.5,70,9,,16,2.1,,16,38,95,6,,16,2.5
17,32,55,8,,17,1.7,,17,37,86,6,,17,2.3
18,36.5,101,8,,18,2.8,,18,39,92,6,,18,2.4
19,33,112,6,,19,3.4,,19,35,93,6,,19,2.7
20,38.5,65,10,,20,1.7,,20,36.1,93,6,,20,2.6
21,38.5,74,8,,21,1.9,,21,39,86,6,,21,2.2
22,34,81,7,,22,2.4,,22,42,141,6.5,,22,3.4
23,39,139,9,,23,3.6,,23,42,153,6.5,,23,3.6
24,37.5,80,7,,24,2.1,,24,40.5,148,5,,24,3.7
25,37,61,8,,25,1.6,,25,50,155,6,,25,3.1
26,28,125,7,,26,4.5,,26,41.5,159,5,,26,3.8
27,36,107,8,,27,3.0,,27,35,115,4,,27,3.3
28,35,56,4.5,,28,1.6,,28,33,157,4,,28,4.8
29,35,168,4.5,,29,4.8,,29,34,107,4.5,,29,3.1
30,39,92,7.5,,30,2.4,,30,37,130,5,,30,3.5
31,38,66,5,,31,1.7,,31,37,119,5,,31,3.2
32,36.5,153,7.5,,32,4.2,,32,36,128,6,,32,3.6
33,39.5,131,8,,33,3.3,,33,35,125,6,,33,3.6
34,37.5,129,6.75,,34,3.4,,34,31,177,3.5,,34,5.7
35,36,153,6.5,,35,4.3,,35,32,146,3.5,,35,4.6
36,39.5,32,10,,36,0.8,,36,34.5,207,4,,36,6.0
37,41,111,7,,37,2.7,,37,36.5,100,7,,37,2.7
38,36.25,71,6,,38,2.0,,38,46,132,8.25,,38,2.9
39,35.5,83,6,,39,2.3,,39,40.5,93,8,,39,2.3
40,37.5,33,9,,40,0.9,,40,42.5,140,13.5,,40,3.3
41,38.5,89,9,,41,2.3,,41,38.25,68,11.75,,41,1.8
42,37,78,11,,42,2.1,,42,48.75,94,14.75,,42,1.9
43,40.5,110,11,,43,2.7,,43,36.5,130,8.5,,43,3.6
44,40.5,61,13,,44,1.5,,44,40.5,90,9.5,,44,2.2
45,35.5,81,9,,45,2.3,,45,44,72,16.5,,45,1.6
46,40.75,83,10,,46,2.0,,46,16.5,25,2,,46,1.5
47,39,95,9.5,,47,2.4,,,,,,,,
48,45,58,17,,48,1.3,,,,,,,,
49,34.5,52,13,,49,1.5,,,,,,,,
50,30.5,100,9,,50,3.3,,,,,,,,
51,34.5,69,11,,51,2.0,,,,,,,,
52,34.5,55,9,,52,1.6,,,,,,,,
53,42,68,17,,53,1.6,,,,,,,,
54,42.5,48,12,,54,1.1,,,,,,,,
55,40,65,13,,55,1.6,,,,,,,,
56,44.5,83,15,,56,1.9,,,,,,,,
57,42,82,15,,57,2.0,,,,,,,,
58,48,51,12,,58,1.1,,,,,,,,
59,45,95,15,,59,2.1,,,,,,,,
60,43,55,15,,60,1.3,,,,,,,,
61,60,53,8,,61,0.9,,,,,,,,
62,66,50,20,,62,0.8,,,,,,,,
63,66,52,21,,63,0.8,,,,,,,,
64,53,47,13,,64,0.9,,,,,,,,
65,51,19,2,,65,0.4,,,,,,,,
66,48,31,12,,66,0.6,,,,,,,,
67,12,13,2,,67,1.1,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
