spit,material,age,error,cal_age_min,cal_age_max,lab_code,depth_bs
3,charcoal,124,32,10,274,Wk-19228,0.067
4,Turbo,4962,50,5595,5886,Wk-19229,0.093
9,Trochus,4580,42,5053,5449,Wk-19230,0.203
16,Trochus,4867,42,5481,5710,Wk-18157,0.381
21,Trochus,5595,43,6296,6454,Wk-18158,0.502
23,Trochus,5694,45,6399,6633,Wk-18159,0.543
33,Trochus,5939,45,6668,6884,Wk-17832,0.776
34,Shell bead/Nautilus,6118,41,6898,7158,Wk-19316,0.898
40,Trochus,8879,78,9701,10200,Wk-19231,0.912
41,Oliva shell bead,6223,26,7019,7247,Wk-30500,0.952
42,Oliva shell bead,5575,27,6305,6405,Wk-30501,0.967
43,Oliva shell bead,13901,45,16601,17047,Wk-30502,0.993
46,Oliva shell bead,9457,32,10583,10772,Wk-30503,1.054
49,Haliotis cf. varia,14007,146,16534,17462,Wk-18160,1.135
50,Haliotis cf. varia,13778,43,16425,16905,Wk-30504,1.152
56,Turbo,35387,534,38839,41185,Wk-19232,1.305
66,Trochus,37267,453,41021,42440,Wk-17833,1.624
