Material,Datum,Spit no.,Av. Depth (m),Dumpy ht (m),Depth bs (m),Spit depth (cm)
,0.172,1,0.769,0.754,0.018,1.8
,,2,0.804,0.754,0.054,3.6
charcoal/,,3,0.815,0.754,0.067,1.4
Turbo pair,,4,0.838,0.754,0.093,2.5
,0.171,5,0.859,0.753,0.116,2.4
,,6,0.875,0.753,0.134,1.8
,,7,0.901,0.753,0.162,2.8
,,8,0.914,0.753,0.177,1.5
Trochus,,9,0.938,0.753,0.203,2.6
,,10,0.962,0.753,0.229,2.6
,,11,0.990,0.753,0.259,3.1
,,12,1.011,0.753,0.282,2.3
,,13,1.033,0.753,0.306,2.4
,,14,1.051,0.753,0.327,2.0
,,15,1.083,0.753,0.360,3.4
Trochus,0.172,16,1.103,0.754,0.381,2.1
,,17,1.125,0.754,0.405,2.4
,,18,1.145,0.754,0.427,2.2
,,19,1.171,0.754,0.456,2.9
,,20,1.200,0.754,0.486,3.1
Trochus,,21,1.214,0.754,0.502,1.6
,,22,1.232,0.754,0.522,2.0
Trochus,,23,1.251,0.754,0.543,2.1
,,24,1.273,0.754,0.567,2.4
,,25,1.298,0.754,0.594,2.7
,0.172,26,1.315,0.754,0.614,1.9
,,27,1.336,0.754,0.637,2.3
,,28,1.352,0.754,0.654,1.7
,,29,1.374,0.754,0.678,2.4
,,30,1.395,0.754,0.701,2.4
,,31,1.417,0.754,0.725,2.3
,,32,1.436,0.754,0.747,2.2
Trochus,,33,1.464,0.754,0.776,2.9
,,34,1.471,0.754,0.785,0.9
,,35,1.494,0.754,0.810,2.5
,,36,1.518,0.754,0.836,2.6
,,37,1.540,0.754,0.860,2.4
,,38,1.556,0.754,0.878,1.8
shell bead/Trochus?,,39,1.573,0.754,0.898,1.9
Trochus,,40,1.585,0.754,0.912,1.4
,0.17,41,1.622,0.752,0.952,4.1
,,42,1.635,0.752,0.967,1.5
,,43,1.659,0.752,0.993,2.6
,,44,1.673,0.752,1.010,1.7
,,45,1.691,0.752,1.029,1.9
,,46,1.714,0.752,1.054,2.5
,,47,1.746,0.752,1.088,3.4
,,48,1.785,0.752,1.129,4.1
Haliotos cf varia,,49,1.789,0.752,1.135,0.6
,,50,1.804,0.752,1.152,1.7
,,51,1.820,0.752,1.171,1.9
,,52,1.841,0.752,1.193,2.3
,0.173,53,1.867,0.755,1.218,2.5
,,54,1.903,0.755,1.256,3.8
,,55,1.929,0.755,1.284,2.8
Turbo,,56,1.947,0.755,1.305,2.1
,,57,1.982,0.755,1.341,3.7
,,58,2.009,0.755,1.370,2.9
,,59,2.031,0.755,1.394,2.4
,,60,2.055,0.755,1.420,2.6
,,61,2.075,0.755,1.442,2.2
,,62,2.143,0.755,1.512,7.1
,,63,2.179,0.755,1.550,3.8
,0.174,64,2.212,0.756,1.584,3.4
,,65,2.218,0.756,1.592,0.8
Trochus,,66,2.248,0.756,1.624,3.1
,,67,,0.756,1.720,9.6
