Spit,Semi-Discoidal,Faceted Radial / Levallois,Truncated Faceted Flake,Bipolar ,Bidirectional ,Single Platform ,Mulitplatform 
62,,,,,,,
61,,,,,,,
60,,,,,,,x
59,,,x,,,x,x
58,,x,,,,,
57,,,,,,,
56,,,,x,,,
55,,,x,x,,,
54,,x,,,,,x
53,,,,,,,
52,,x,x,,,x,x
51,,,,,,,
50,x,x,,,,,
49,,,x,,x,,
48,x,,,,,,
47,,,,,,,
46,,,,,,,
45,,,,,x,,
44,,,,,,,
43,,,,,,,
42,,,,,,,
41,,,,,,,x
40,,,,,,,
39,,,,,,,
38,,,,,,,
37,,x,,,,,
36,,,,,,,
35,,,x,,,,
34,,,,,,,
33,,,,,,,
32,,,,,,,
31,,,,,,,x
30,,,,x,,,
29,,,,,,,x
28,,,,,,,
27,,,,,,,
26,,,,,,,
25,,,,,,,x
24,,,,,,,
23,,,,,x,x,
22,,,,,,,
21,,,,,,,
20,,,,,,,
19,,,,,,,
18,,,,,,x,
17,,,,,,,
16,,,,x,x,,
15,,,,,,,
14,,,,x,x,x,x
13,,,,,,,
12,,,,,,,
11,,x,,,,,
10,x,x,,x,,x,
9,,x,x,,,,x
8,,,,,,x,
7,,,,x,,,x
6,x,,,,,,
5,,,,,,,x
4,,,,,,,
3,,,,,,,
2,,,,,,,
1,,,,,,,
