Spit,Old Ventral Suface on Dorsal / Faceted Platform,Platform Faceting,Flake With Old Ventral on Dorsal,Truncated Flake,Flakes With Gloss
62,,,,,
61,,x,,,
60,x,x,,,
59,,x,,,
58,x,x,,,
57,x,x,,,
56,x,x,,,
55,x,x,,,
54,x,x,,,
53,,x,,,
52,x,x,,,
51,x,x,,,
50,x,x,,,
49,,,,,
48,,,,,
47,,,,,
46,,x,,,
45,,,,,
44,,,,,
43,x,x,,,
42,,,,,
41,,x,,,
40,,,,,
39,,x,,,
38,x,,,,
37,,x,,,
36,,x,,,
35,x,x,,,
34,x,x,,,
33,,,,,
32,x,x,,,
31,,x,,,
30,x,x,,,
29,x,x,,,
28,,x,,,
27,,x,,,x
26,x,x,,,
25,,x,,,
24,,,,,
23,x,x,,,
22,x,x,x,x,
21,x,x,x,,
20,,x,x,,x
19,x,x,,,
18,,x,,,
17,,x,x,,
16,,x,,,
15,,,x,,
14,x,x,,,
13,,x,x,,
12,,x,,,
11,x,x,,,
10,,x,,,
9,,x,x,,
8,x,x,x,,
7,,x,x,,
6,x,x,x,,
5,x,x,,,x
4,,x,,,x
3,x,x,,,
2,,x,,,
1,x,x,,,
