Spit,Microblade,Levallois-Like Flake,Burin Spall,Faceted Point,Bipolar Flake,Eclat Debordant,Cortical Flake,Redirecting Flake,Chopper/Anvil
62,,,,,,,,,
61,,,,x,,,x,,
60,,,,,,,,,
59,,,,,,,,,
58,,,x,,,,,,
57,,,x,,,,,,
56,x,,,,,,,,
55,x,,,,,,,,
54,x,,,x,,,,,
53,,x,,x,,,,,
52,,,,,,,x,x,
51,x,x,,,,,,,
50,,,,,,,,,
49,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,x
46,,,,,,,,,
45,x,,x,,,,,,
44,,,,,,,,,
43,,,,,,,,,
42,,,,,,x,,,
41,,,,,,,,x,
40,,,,,x,,,,
39,,,,,,,,,
38,,,,,,,,x,
37,x,,,,,,,x,
36,,x,,,,,,,
35,,,,,x,x,,,
34,,,,,,,,,
33,,,,,,,,,
32,,x,,,,,,,
31,,,,,,x,,,
30,x,,,,,,,,
29,,,,,,,,,
28,,,,,,,x,,
27,,,,,,,,,
26,x,,,,,,,,
25,x,,,,x,x,,x,
24,x,,,,,x,,,
23,x,,,,,,,x,
22,x,,,,,,,x,
21,,,,,,,,,
20,,,x,,x,,,x,
19,,,,,,,,,
18,,,,,,,x,,
17,,,,,,,,x,
16,,,,,,,,,
15,x,,,,x,,x,x,
14,,,,,,,,,
13,,,x,,,,,x,
12,,,x,,,,,,
11,,,x,,x,,,x,
10,,,,,,,,,
9,,,,,,,x,x,
8,,,,,,,,,
7,,,,,,,,x,
6,x,,,,,,,,
5,,,,,,,,x,
4,,,,,,,,x,x
3,,,,,x,,,,
2,,,,,,,,,
1,,,,,,,,,
