B,Faceting,Levallois-like flake,End scraper,Side,notch,Side and End,Double Side and End Scraper,Denticulated  Retouch,Notched double side and end,Notched side and end scraper,Evidence of dual hemispheres,drill-like retouch,Chopper/Anvil,Microblade,Burin Spall,Faceted Flake from Ventral,Truncated faceted core,Unfaceted Flake from Ventral,Brumm and Moore Truncated Flake,Semi-Discoidal Core,Bidirectional core,Faceted Radial Core/Levallois,Possible ground flake (axe flake?),Faceted Point,Cortical Flake,Single Platform Core,Mulitplatform Core,Bipolar core,Bipolar Flake,Microblade core face flake?,redirecting flake,Eclat debordant,Ground ochre,Striated haematite,gloss,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
60,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
59,1,,?,,,1,1,,,,1,,,,,,1,,,,,,2,,,1,1,,,,,,,,,,,,
58,1,,,1,,,,,,,1,,,,1,1,,,,,,? Frag,,,,,,,,,,,,,,,,,
57,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
56,1,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,?,,,,,,,,,,,
55,1,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,
54,1,,1,,,,,,,,1,,,1?,,1,,,,,,1,,1,,,1,,,1,,,,,,,,,
53,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
52,1,,,,,,,,,,,,,,,1,1?snapped edge,,,,,1,,,c,1,1,,,,1,,,,,,,,
51,1,1,,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
50,1,,1,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,
49,,,,,,1,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
Phase I,12,2,4,2,0,2,2,0,0,0,11,0,0,3,2,9,3,0,0,1,1,3,1,3,1,2,4,1,0,1,1,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
47,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
42,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
41,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
Phase II,3,0,1,2,0,1,1,0,0,1,2,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,,,,,
39,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
38,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
37,1,,1,,,,,,,,1,,,12,,,,,,,,12,,,,,,,,,1,,,,,,,,
36,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,,,,,,,,,,1,,,,,1,1?,,,,,,,,,,,,1?,,,1?,,,,,,,
34,1,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,1,,,,,,,,,1,,,,,1?,,,,,,,,,,,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1?,,,,,,,
30,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
28,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
27,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,double side retouch,,,
26,1,,,1,,,,,,,1,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,1,,1,1,,,,,,,
24,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
23,1,,,1,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,1,,,1,1,,,,
22,1,,1,,,,,1,,,1,,,1,,2,,3,2,,,,,,,,,,,,1,,,1,,Small haematite fragments,,,
21,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
Phas III,16,2,2,4,3,0,1,1,1,0,10,0,0,7,0,9,0,2,1,0,1,1,0,0,1,1,3,1,1,0,5,2,1,2,1,,,,
20,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,1,,,1,,,,,
19,1,,1,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
18,1,,1,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,microblade core on flake,denticulated side retouch,,
17,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
16,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,
15,,,1,1,,,,,,,,,,2,,,,1,,,,,,,1,,,,1,,2,,,,,,,,
14,1,,,,1,,1,,,,,,,,,2,,,,,1,,,,,1,1,1,,,,,,,,Small unaltered haematite fragments,retouch from break,,
13,1,,2,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,
12,1,,,3,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,double  side bifacial retouch,broken drill tip,,
11,1,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,,3,,1,,,,1,ground volcanic,striated haematitie,2 ridge straightening,
10,1,,1,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,
9,1,,1,2,,,,,,,,,,,,,1,2,,,,2,,,2,,1,,,,1,,,,,,,,
8,1,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,
7,1,,1,1,1,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,1,,,,,bifacial end retouch,obsidian,Small unaltered haematite fragments,bipolar core on flake
6,1,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
5,1,,2,,3,,1,,,,,,,,,1,,,,,,,,,,,1,,,,2,,,,,obsidian flake,,,
4,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,anvil,,,
3,1,,,1,2,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Phse IV,19,0,10,8,6,1,4,1,0,0,0,2,1,2,4,8,1,8,0,2,2,3,0,0,3,4,4,4,4,0,9,0,0,1,c,,,,
