class,tech_type,Phase I B,Phase I A,Phase I total count,Phase I %,Phase II B,Phase II A,Phase II total count,Phase II %,Phase III B,Phase III A,Phase III total count,Phase III %,Phase IV B,Phase IV A,Phase IV total count,Phase IV %
Retouch,Distal,4,1,5,23.81,1,3,4,12.5,2,2,4,10.26,10,,10,40
Retouch,Lateral,2,2,4,19.05,2,4,6,18.75,4,0,4,10.26,8,,8,32
Retouch,Notched,1,2,3,14.29,0,0,0,0,3,0,3,7.69,6,,6,24
Retouch,Lateral and Distal,2,0,2,9.52,1,1,2,6.25,0,0,0,0,1,,1,4
Retouch,Double Side and End,2,0,2,9.52,1,3,4,12.5,1,0,1,2.56,4,1,5,20
Retouch,Denticulated,0,0,0,0,0,1,1,3.13,1,0,1,2.56,1,,1,4
Retouch,Notched Lateral and/or Distal,0,0,0,0,1,1,2,6.25,1,1,2,5.13,0,,0,0
Retouch,Retouched Pointed Projections (Piercer/Drill-like),0,1,1,4.76,0,0,0,0,0,0,0,0,2,,2,8
Flake cores,Old Ventral Surface on Dorsal\Faceted Platform,9,2,11,52.38,1,2,3,9.38,9,3,12,30.77,8,,8,32
Flake Features,Platform Faceting,12,3,15,71.43,3,8,11,34.38,16,13,29,74.36,19,,19,76
Flake cores,Flake With Old Ventral on Dorsal,0,4,4,19.05,0,4,4,12.5,2,7,9,23.08,8,,8,32
Flake Features,Truncated Flake,0,1,1,4.76,0,3,3,9.38,1,0,1,2.56,0,,0,0
Flake Features,Flake With Gloss,0,0,0,0,,0,0,0,1,1,2,5.13,3,,3,12
Ground,Striated Haematite,0,0,0,0,,0,0,0,2,0,2,5.13,1,,1,4
Technological ,Microblade,4,1,5,23.81,1,1,2,6.25,7,1,8,20.51,2,,2,8
Levallois,Levallois-like Flake,2,0,2,9.52,0,0,0,0,2,0,2,5.13,0,,0,0
Types,Burin Spall,2,1,3,14.29,1,3,4,12.5,0,1,1,2.56,4,,4,16
Types,Pointed Flake with Facetted Platform,3,0,3,14.29,0,0,0,0,0,0,0,0,0,,0,0
Bipolar,Bipolar Flake,0,2,2,9.52,1,6,7,21.88,1,2,3,7.69,4,,4,16
Levallois,eclat Debordant,0,0,0,0,1,2,3,9.38,2,0,2,5.13,0,,0,0
Types,Cortical Flake,1,0,1,4.76,0,0,0,0,1,0,1,2.56,3,,3,12
multiplatform,Redirecting Flake,1,6,7,33.33,1,6,7,21.88,5,2,7,17.95,9,2,11,44
Types,Chopper Anvil,0,0,0,0,1,0,1,3.13,0,0,0,0,1,,1,4
Cores,Discoidal/Semi Discoidal,1,0,1,4.76,1,1,2,6.25,0,0,0,0,2,,2,8
Levallois,Faceted Radial Levallois-like,3,0,3,14.29,0,1,1,3.13,1,0,1,2.56,3,,3,12
Flake cores,Truncated Faceted ,3,0,3,14.29,0,1,1,3.13,0,0,0,0,1,,1,4
Bipolar,Bipolar,1,1,2,9.52,0,3,3,9.38,1,2,3,7.69,4,,4,16
Cores,Bidirectional,1,0,1,4.76,1,0,1,3.13,1,0,1,2.56,2,,2,8
Cores,Single Platform,2,0,2,9.52,0,0,0,0,1,0,1,2.56,4,,4,16
multiplatform,Multiplatform,4,1,5,23.81,1,3,4,12.5,3,1,4,10.26,4,,4,16
,,,,,,,,,,,,,,,,,
,retouch,,,,10.11904762,,,,7.421875,,,,4.807692308,,,,16.5
,bipolar,,,,9.52,,,,15.63,,,,7.69,,,,16
,flake cores,,,,28.57,,,,8.33,,,,17.95,,,,22.67
,Levallois,,,,7.94,,,,4.17,,,,4.27,,,,4
,Flake with gloss,,,,0,,,,,,,,,,,,
,multiplatform,,,,28.57,,,,17.19,,,,14.1,,,,30
