"","Square","Spit","Depth below surface (m)","Material","Radiocarbon Age","Radiocarbon Error","Calibrated 2.5% Credible interval","Calibrated 97.5% Credible interval","Lab code"
"1","A",3,0.06,"Charcoal  ",2570,34,2519,2750,"Wk-19224 "
"2","A",5,0.092,"Charcoal  ",3245,39,3390,3560,"Wk-19225"
"3","A",6,0.115,"Turbo ",5341,41,6002,6261,"Wk-18154 "
"4","A",12,0.306,"Turbo ",5567,44,6294,6435,"Wk-18155 "
"5","A",13,0.339,"Turbo ",5549,62,6226,6459,"Wk-17829 "
"6","A",21,0.525,"Turbo ",5909,40,6661,6839,"Wk-19226 "
"7","A",26,0.639,"Haliotis cf. varia Turbo ",10110,79,11348,12007,"Wk-18156 "
"8","A",27,0.662,"Turbo ",19952,235,23501,24553,"Wk-17830 "
"9","A",38,0.877,"Turbo ",13658,91,16239,16764,"Wk-19227 "
"10","A",46,1.119,"Trochus ",38255,596,41603,43141,"Wk-17831 "
"11","B",3,0.067,"charcoal",124,32,17,269,"Wk-19228"
"12","B",4,0.093,"Turbo",4962,50,5606,5870,"Wk-19229"
"13","B",9,0.203,"Trochus",4580,42,5071,5439,"Wk-19230"
"14","B",16,0.381,"Trochus",4867,42,5491,5696,"Wk-18157"
"15","B",21,0.502,"Trochus",5595,43,6305,6462,"Wk-18158"
"16","B",23,0.543,"Trochus",5694,45,6400,6619,"Wk-18159"
"17","B",33,0.776,"Trochus",5939,45,6673,6881,"Wk-17832"
"18","B",34,0.898,"Shell bead/Nautilus",6118,41,6894,7151,"Wk-19316"
"19","B",40,0.912,"Trochus",8879,78,9703,10185,"Wk-19231"
"20","B",41,0.952,"Oliva shell bead",6223,26,7025,7240,"Wk-30500"
"21","B",42,0.967,"Oliva shell bead",5575,27,6308,6402,"Wk-30501"
"22","B",43,0.993,"Oliva shell bead",13901,45,16699,16997,"Wk-30502"
"23","B",46,1.054,"Oliva shell bead",9457,32,10595,10760,"Wk-30503"
"24","B",49,1.135,"Haliotis cf. varia",14007,146,16536,17403,"Wk-18160"
"25","B",50,1.152,"Haliotis cf. varia",13778,43,16514,16811,"Wk-30504"
"26","B",56,1.305,"Turbo",35387,534,38872,41094,"Wk-19232"
"27","B",66,1.624,"Trochus",37267,453,40929,42321,"Wk-17833"
