"","V1","V2","V3","V4"
"phase",1,2,3,4
"median(Length, na.rm = TRUE)",8.44,8.71,9.04,10.55
"median(Width, na.rm = TRUE)",7.92,8.33,8.45,9.62
"median(Thick, na.rm = TRUE)",1.97,1.95,2.05,2.54
"median(Weight, na.rm = TRUE)",0.16,0.16,0.17,0.31
"median(Platwid, na.rm = TRUE)",5.77,5.58,5.95,7.24
"median(Platthic, na.rm = TRUE)",1.94,1.76,1.95,2.54
"median(NoDS, na.rm = TRUE)",4,4,4,4
"median(Cortex, na.rm = TRUE)",0,0,0,0
"IQR(Length, na.rm = TRUE)",6.97,6.97,6.16,8.56
"IQR(Width, na.rm = TRUE)",5.87,6.32,6.2,7.54
"IQR(Thick, na.rm = TRUE)",2.3,2.15,2.03,2.85
"IQR(Weight, na.rm = TRUE)",0.46,0.5,0.44,0.85
"IQR(Platwid, na.rm = TRUE)",4.91,4.62,5.23,5.68
"IQR(Platthic, na.rm = TRUE)",2.08,1.77,1.81,2.71
"IQR(NoDS, na.rm = TRUE)",2,3,2,2
"IQR(Cortex, na.rm = TRUE)",0,0,0,0
"n",728,1144,1907,946
"OHR_n",407,633,1136,553
"OHR_perc",55.91,55.33,59.57,58.46
